UniqueID,Dw_All_Mg,MeanHeight,Easting,Northing,Class
2079,1.626,0,292354,6527252,Con
2123,22.747,0,317174,6407989,Dec
1730,61.822,0,333153,6468317,Con
1853,4.337,0.3,385484,6394600,Con
2093,28.756,0.3,291840,6478315,Dec
1849,1.443,0.6,385873,6394200,Dec
2128,6.337,2.4,333349,6392228,Con
1613,5.299,2.7,370498,6554588,Dec
2103,5.477,3.3,304924,6455890,Con
1673,11.418,3.3,347182,6519378,Mix
1637,29.764,3.5,356437,6535341,Con
2098,8.395,3.7,323402,6475811,Con
1758,10.099,3.7,374944,6445185,Dec
1851,14.174,4.1,385462,6393811,Con
1713,35.018,4.2,316670,6492176,Con
1801,22.722,4.4,410514,6412604,Con
1670,46.782,5.3,347581,6519362,Con
1610,11.077,5.5,370871,6553775,Con
1728,36.242,5.8,333570,6468700,Con
1611,24.947,6,370471,6553789,Dec
1872,21.011,6.2,383689,6383393,Mix
1665,36.362,7.2,457539,6523677,Con
1804,19.018,7.3,410132,6413413,Con
1738,24.651,7.4,407286,6458655,Dec
1769,42.548,7.4,446044,6438344,Con
2081,132.288,7.4,284007,6522729,Con
1873,46.064,7.5,383671,6382982,Con
1768,56.094,7.6,375460,6437908,Mix
1868,79.682,8.1,343197,6386941,Con
2078,27.049,8.2,292386,6527852,Con
2087,77.413,8.2,304632,6516427,Con
1714,36.112,8.5,316289,6492594,Con
1587,98.296,8.5,342395,6568327,Con
1731,43.296,8.6,333170,6468717,Mix
2102,69.743,8.7,313035,6471477,Mix
1824,52.995,8.8,353773,6402060,Mix
1718,62.103,9.3,404017,6487251,Dec
1751,61.661,9.5,397259,6452793,Con
1865,82.565,9.5,343581,6386526,Con
1715,46.804,9.6,316308,6492994,Con
2114,49.248,9.8,325953,6428509,Con
2111,72.592,9.8,316570,6430553,Con
1666,76.39,9.8,315300,6521851,Con
1694,76.991,10,414002,6504039,Mix
2100,69.861,10.1,323129,6476424,Con
2094,43.043,10.2,316273,6478330,Con
2095,111.259,10.2,316245,6477731,Con
1609,58.711,11,370884,6554175,Mix
1612,122.965,11.1,370485,6554188,Con
1807,91.658,11.2,364374,6411041,Con
1806,72.501,11.8,364774,6411027,Con
2090,77.9,11.8,292156,6478599,Con
1722,98.129,12.1,447846,6478827,Con
2119,73.969,12.2,321803,6426159,Dec
1802,122.281,12.5,410114,6412613,Con
1799,161.574,12.5,410546,6413408,Dec
2080,117.16,12.7,292087,6527868,Con
2129,165.441,12.8,333361,6392528,Con
1817,83.519,13,352354,6408656,Con
1822,93.471,13.1,354201,6402845,Con
1721,93.999,13.1,448233,6478026,Con
1586,91.463,13.5,342411,6568726,Dec
2082,158.879,13.5,283990,6522429,Con
1737,42.934,13.7,407277,6458255,Dec
2089,109.739,13.7,304662,6517026,Mix
2086,61.938,13.8,304931,6516412,Con
2115,123.283,14,325967,6428809,Mix
1800,73.81,14.3,410523,6413004,Mix
1636,145.394,14.5,356452,6535740,Con
1845,90.894,14.8,375074,6395050,Dec
2130,134.038,15,333373,6392828,Con
2127,163.681,15,333648,6392216,Con
1843,56.058,15.2,375099,6395850,Con
1866,66.381,15.4,343566,6386127,Con
1847,104.073,15.4,374702,6395881,Con
2106,111.098,15.8,304610,6455605,Con
2097,180.944,15.8,323429,6476410,Mix
1805,149.973,16.1,364787,6411427,Con
2107,253.416,16.2,304624,6455904,Con
1874,114.631,16.3,383279,6383023,Con
1705,210.207,16.3,403879,6496298,Con
1631,53.483,16.4,314453,6543082,Con
2085,103.511,16.4,304947,6516711,Mix
1855,128.658,16.4,398154,6390580,Con
1693,167.656,16.5,413993,6503639,Mix
2124,102.179,16.6,308536,6403740,Con
2126,257.554,16.8,333673,6392815,Con
1671,103.905,16.9,347150,6518578,Con
1881,109.012,16.9,355351,6381287,Mix
1753,88.908,17,397238,6451994,Con
1882,122.435,17.1,355337,6380887,Dec
2096,34.382,17.3,315959,6478044,Con
2125,137.429,17.3,308237,6403754,Con
2083,180.134,17.3,283974,6522130,Mix
2109,224.081,17.4,316870,6430539,Con
1672,105.151,17.5,347166,6518978,Con
1629,135.495,17.6,314902,6543422,Con
1848,247.633,17.6,385885,6394600,Con
1818,79.707,17.9,352339,6408256,Con
2088,156.064,17.9,304647,6516726,Con
1852,159.02,18,385474,6394211,Dec
1820,166.183,18,351939,6408271,Con
1717,222.189,18,404417,6487241,Mix
2121,250.96,18,321830,6426758,Con
2120,200.875,18.1,321816,6426459,Con
2117,252.878,18.1,322106,6426453,Con
1588,106.095,18.2,342378,6567927,Mix
1632,216.55,18.2,314502,6543441,Con
1716,145.871,18.3,337305,6491687,Mix
1712,194.961,18.3,316707,6492975,Mix
1867,185.981,18.4,343182,6386542,Con
1803,142.19,18.5,410123,6413013,Con
2110,154.437,18.5,316842,6429939,Con
1628,154.038,18.8,314921,6543821,Con
1819,139.188,19.1,352324,6407856,Con
1883,260.753,19.1,354952,6381301,Con
1774,107.642,19.5,445644,6438349,Con
1773,115.848,19.7,445639,6437949,Con
1589,128.954,20,341978,6567944,Con
1727,187.807,20.1,405351,6471729,Dec
1638,283.718,20.1,356037,6535356,Dec
1826,247.925,20.5,353801,6402859,Con
1664,318.011,20.5,457534,6523277,Con
1772,166.161,20.6,445637,6437546,Con
2108,128.142,20.8,309714,6453004,Mix
1771,233.598,20.8,446033,6437544,Con
2084,137.101,21,283674,6522146,Con
2113,139.325,21.1,326266,6428796,Con
1704,202.727,21.2,404288,6496688,Mix
1743,211.204,21.2,331580,6453099,Con
1770,116.512,21.3,446039,6437944,Con
1880,169.696,21.4,355366,6381687,Con
1733,368.917,21.5,338551,6467966,Con
2112,151.408,21.6,326279,6429096,Mix
1729,235.768,21.7,333553,6468300,Con
1703,131.028,21.8,404298,6497088,Dec
1752,206.217,21.9,397248,6452394,Con
1724,145.944,22,404262,6476858,Dec
1854,209.572,22.4,398553,6390570,Dec
1745,171.841,22.5,331614,6453898,Dec
1692,243.533,22.5,414393,6503630,Dec
2105,116.951,22.9,304595,6455305,Con
1635,200.732,23,356467,6536140,Con
1796,211.802,23.2,404552,6416685,Con
2118,181.214,23.5,322103,6426146,Mix
2116,106.243,24.4,322129,6426745,Dec
1720,141.897,24.6,448243,6478825,Con
1662,193.781,25.5,457943,6524072,Con
2092,188.529,25.9,292124,6477999,Dec
1706,92.219,26,403899,6497098,Con
2091,101.864,26.1,292140,6478299,Dec
1844,225.316,26.4,375087,6395450,Con
1633,289.813,26.4,314522,6543840,Con
1766,242.628,26.7,375872,6438295,Con
